?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/MONDO_0001056>	"A primary or metastatic malignant neoplasm involving the stomach."	"ICD9:151.4 ICD9:151.5 DOID:10534 ICD9:151.6 Orphanet:63443 ICD9:151 ICD10CM:C16 ICD9:151.9 NCIT:C9331 OMIM:613659"
<http://purl.obolibrary.org/obo/UBERON_0000949>		
<http://purl.obolibrary.org/obo/UBERON_0001177>		
<http://purl.obolibrary.org/obo/NCIT_C130200>	"An individual who is receiving a transplant of a solid organ."	
<http://purl.obolibrary.org/obo/SYMP_0000514>		"UMLS_ICD9CM_2005_AUI:A0284200 UMLS_CUI:C0476271 ICD9CM_2005:786"
<http://purl.obolibrary.org/obo/MONDO_0100347>		"SCTID:35868009 NORD:890 ICD10CM:E34.0 MedDRA:10007270 ICD9:259.2 EFO:1000852 GARD:5994 NCIT:C3215 Orphanet:100093"
<http://purl.obolibrary.org/obo/GO_1901700>		
<http://purl.obolibrary.org/obo/HP_5200283>		
<http://purl.obolibrary.org/obo/MONDO_0000589>	"A hypersensitivity reaction type II disease that involves the musculoskeletal system."	"DOID:0060032"
<http://purl.obolibrary.org/obo/CL_0000031>		
<http://purl.obolibrary.org/obo/HP_0003330>		
<http://purl.obolibrary.org/obo/MONDO_0019954>	"Pancreatic endocrine tumor, also known as pancreatic neuroendocrine tumor (PNET), describes a group of endocrine tumors originating in the pancreas that are usually indolent and benign, but may have the potential to be malignant. They can be functional, exhibiting a hormonal hypersecretion syndrome, but can be non-functional presenting with non-specific symptoms and include insulinoma, glucagonoma, VIPoma, somatostatinoma (SSoma), PPoma and Zollinger-Ellison syndrome (ZES, or gastrinoma) and other ectopic hormone producing tumors (such as GRFoma)."	"NCIT:C27720 EFO:1000045 Orphanet:97253 ICDO:8150/1 ONCOTREE:PANET GARD:13034"
<http://purl.obolibrary.org/obo/CL_0000164>		
<http://purl.obolibrary.org/obo/MONDO_0015068>	"A well differentiated, low or intermediate grade tumor with neuroendocrine differentiation that arises from the rectum."	"UMLS:CN197361 NCIT:C135213"
<http://purl.obolibrary.org/obo/GO_1901701>		
<http://purl.obolibrary.org/obo/CHEBI_28616>	"A one-carbon compound that is ammonia in which one of the hydrogens is replaced by a carboxy group. Although carbamic acid derivatives are common, carbamic acid itself has never been synthesised."	
<http://purl.obolibrary.org/obo/NCIT_C12917>	"Cells of, or derived from, a malignant tumor."	
<http://purl.obolibrary.org/obo/UBERON_0001046>		
<http://purl.obolibrary.org/obo/HP_0002793>		
<http://purl.obolibrary.org/obo/CHEBI_57977>	"A dicarboxylic acid dianion obtained by deprotonation of the two carboxy groups of bilirubin; major species at pH 7.3."	
<http://purl.obolibrary.org/obo/UBERON_0003134>		
<http://purl.obolibrary.org/obo/GO_0002524>		
<http://purl.obolibrary.org/obo/HP_0012638>		
<http://purl.obolibrary.org/obo/MONDO_0003205>	"A carcinoma that arises from glandular epithelial cells of the renal pelvis"	"UMLS:C1335748 DOID:4918 NCIT:C6143"
<http://purl.obolibrary.org/obo/UBERON_0005795>		
<http://purl.obolibrary.org/obo/MONDO_0024642>	"A well differentiated, intermediate grade tumor with neuroendocrine differentiation that arises from the stomach. The mitotic count is 2-20 per 10 HPF and/or the Ki67 index is 3 to 20 percent."	"NCIT:C95880 UMLS:C3272407"
<http://purl.obolibrary.org/obo/UBERON_0013765>		
<http://purl.obolibrary.org/obo/NCIT_C16273>	"Consumption of liquids containing ethanol, including the behaviors associated with drinking the alcohol."	
<http://purl.obolibrary.org/obo/UBERON_0001174>		
<http://purl.obolibrary.org/obo/UBERON_0001041>		
<http://purl.obolibrary.org/obo/SO_0000001>		
<http://purl.obolibrary.org/obo/UBERON_0006601>		
<http://purl.obolibrary.org/obo/MONDO_0024643>	"A disorder that affects the muscle tissue of the heart. Representative examples include myocardial infarction, myocarditis, and cardiomyopathy."	"NCIT:C35544 SCTID:57809008"
<http://purl.obolibrary.org/obo/HP_0012639>		
<http://purl.obolibrary.org/obo/GO_0009593>		
<http://purl.obolibrary.org/obo/MONDO_0003200>	"A carcinoma that arises from glandular epithelial cells of the urethra"	"NCIT:C6167 ONCOTREE:UAD DOID:4910 UMLS:C1336885"
<http://purl.obolibrary.org/obo/MONDO_0045012>	"A disease that has its basis in the disruption of steroid metabolic process."	"SCTID:28710006 UMLS:C0268283"
<http://purl.obolibrary.org/obo/UBERON_0003133>		
<http://purl.obolibrary.org/obo/GO_0001894>		
<http://purl.obolibrary.org/obo/HP_0002795>		
<http://purl.obolibrary.org/obo/BFO_0000001>		
<http://purl.obolibrary.org/obo/UBERON_0000945>		
<http://purl.obolibrary.org/obo/UBERON_0001173>		
<http://purl.obolibrary.org/obo/MONDO_0024644>	"A disorder of cardiac function caused by insufficient blood flow to the muscle tissue of the heart. The decreased blood flow may be due to narrowing of the coronary arteries (coronary artery disease), to obstruction by a thrombus (coronary thrombosis), or less commonly, to diffuse narrowing of arterioles and other small vessels within the heart. Severe interruption of the blood supply to the myocardial tissue may result in necrosis of cardiac muscle (myocardial infarction)."	"MESH:D017202 EFO:1001375 ICD10CM:I20-I25 UMLS:C0151744 NCIT:C50625 SCTID:414545008"
<http://purl.obolibrary.org/obo/MONDO_0004975>	"A progressive, neurodegenerative disease characterized by loss of function and death of nerve cells in several areas of the brain leading to loss of cognitive function such as memory and language."	"ICD9:290.1 MESH:D000544 SCTID:142811000119104 NIFSTD:birnlex_2092 ICD10CM:G30 HP:0002511 Orphanet:238616 NCIT:C2866 UMLS:C0002395 ICD9:331.0 EFO:0000249 DOID:10652"
<http://purl.obolibrary.org/obo/UBERON_0006866>		
<http://purl.obolibrary.org/obo/MONDO_0001187>	"A primary or metastatic malignant neoplasm involving the bladder."	"UMLS:C0005684 ICD9:188.9 ICD9:188.8 DOID:11054 NCIT:C9334 Orphanet:157980 OMIM:109800 SCTID:399326009 ICD9:188"
<http://purl.obolibrary.org/obo/MONDO_0021050>	"A benign or malignant neoplasm affecting the vagina. Representative examples of benign neoplasms include squamous papilloma and melanocytic nevus. Representative examples of malignant neoplasms include carcinoma, melanoma, and sarcoma."	"NCIT:C3437 ONCOTREE:VULVA EFO:1001447 ICD9:239.5 SCTID:126921000"
<http://purl.obolibrary.org/obo/MONDO_0003649>	"A well differentiated, low or intermediate grade tumor with neuroendocrine differentiation that arises from the esophagus."	"Orphanet:506136 DOID:5784 NCIT:C95616 UMLS:C2987260 GARD:22058"
<http://purl.obolibrary.org/obo/MONDO_0020129>	"An instance of motor neuron disease that is acquired during the lifetime of the individual."	"GARD:19479 UMLS:CN207019 Orphanet:98506"
<http://purl.obolibrary.org/obo/CHEBI_60643>	"Any substance that inhibits the action of N-methyl-D-aspartate (NMDA) receptors. They tend to induce a state known as dissociative anesthesia, marked by catalepsy, amnesia, and analgesia, while side effects can include hallucinations, nightmares, and confusion. Due to their psychotomimetic effects, many NMDA receptor antagonists are used as recreational drugs."	
<http://purl.obolibrary.org/obo/CL_0002251>		
<http://purl.obolibrary.org/obo/MONDO_0003014>	"An inflammation of the mucous membrane lining the nose, usually associated with nasal discharge."	"SCTID:70076002 MESH:D012220 NCIT:C34986 DOID:4483 EFO:0008521 UMLS:C0035455 ICD10CM:J30"
<http://purl.obolibrary.org/obo/UBERON_0035050>		
<http://purl.obolibrary.org/obo/MONDO_0021580>	"A neoplasm (disease) that involves the jaw skeleton."	"ICD9:239.89 SCTID:126634001"
<http://purl.obolibrary.org/obo/UBERON_0001707>		
<http://purl.obolibrary.org/obo/BFO_0000002>	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."@en	
<http://purl.obolibrary.org/obo/CHEBI_35137>	"Conjugated proteins containing heme as the prosthetic group."	
<http://purl.obolibrary.org/obo/MONDO_0002289>	"A disease involving the iris."	"DOID:240 MESH:D007499 NCIT:C34737 UMLS:C0022078 SCTID:85478004"
<https://github.com/bmir-radx/gcbo/nih_cholesterol>		
<http://purl.obolibrary.org/obo/GO_0002526>		
<http://purl.obolibrary.org/obo/UBERON_0010523>		
<http://purl.obolibrary.org/obo/UBERON_0001043>		
<http://purl.obolibrary.org/obo/NCIT_C37967>	"A laboratory test result indicating an increased amount of cholesterol in the blood."	
<http://purl.obolibrary.org/obo/MONDO_0021146>	"Various conditions with the symptom of headache. Headache disorders are classified into major groups, such as primary headache disorders (based on characteristics of their headache symptoms) and secondary headache disorders (based on their etiologies). (International Classification of Headache Disorders, 2nd ed. Cephalalgia 2004: suppl 1)"	"MESH:D020773 SCTID:230461009"
<http://purl.obolibrary.org/obo/UBERON_0001176>		
<http://purl.obolibrary.org/obo/NCBITaxon_9443>		
<http://purl.obolibrary.org/obo/MONDO_0005574>	"Neurodegenerative disorders involving deposition of abnormal tau protein isoforms (tau proteins) in neurons and glial cells in the brain. Pathological aggregations of tau proteins are associated with mutation of the tau gene on chromosome 17 in patients with alzheimer disease; dementia; parkinsonian disorders; progressive supranuclear palsy (supranuclear palsy, progressive); and corticobasal degeneration."	"DOID:680 EFO:0005815 MESH:D024801 UMLS:C0949664"
<http://purl.obolibrary.org/obo/CL_0000293>		
<http://purl.obolibrary.org/obo/MONDO_0015072>	"An extremely rare, aggressive, high-grade and poorly differentiated carcinoma with neuroendocrine differentiation that arises from the liver."	"UMLS:C3273031 Orphanet:100085 GARD:19760 SCTID:716652006 NCIT:C96787"
<http://purl.obolibrary.org/obo/GO_0001763>		
<http://purl.obolibrary.org/obo/MONDO_0005172>	"A disease involving the skeletal system."	"UMLS:C0263661 SCTID:88230002 EFO:0002461"
<http://purl.obolibrary.org/obo/HP_0000001>		
<http://purl.obolibrary.org/obo/UBERON_0001175>		
<http://purl.obolibrary.org/obo/UBERON_0001042>		
<http://purl.obolibrary.org/obo/NCBITaxon_1489341>		
<http://purl.obolibrary.org/obo/ECTO_6000000>	"An exposure event involving Activity"	
<http://purl.obolibrary.org/obo/CHEBI_22506>		
<http://purl.obolibrary.org/obo/BFO_0000040>	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."@en	
<http://purl.obolibrary.org/obo/CHEBI_33232>	"Intended use of the molecular entity or part thereof by humans."	
<http://purl.obolibrary.org/obo/MONDO_0008170>	"A primary or metastatic malignant neoplasm involving the ovary. Most primary malignant ovarian neoplasms are either carcinomas (serous, mucinous, or endometrioid adenocarcinomas) or malignant germ cell tumors. Metastatic malignant neoplasms to the ovary include carcinomas, lymphomas, and melanomas."	"Orphanet:213500 SCTID:363443007 ICD9:183.0 GARD:7295 OMIM:167000 MESH:D010051 DOID:2394 NCIT:C7431"
<http://purl.obolibrary.org/obo/OGMS_0000087>	"An object aggregate consisting of an organism and all material entities located within the organism, overlapping the organism, or occupying sites formed in part by the organism."@en	
<http://purl.obolibrary.org/obo/IAO_0000409>	"A denotator type indicates how a term should be interpreted from an ontological perspective."@en	
<http://purl.obolibrary.org/obo/UBERON_0004770>		
<http://purl.obolibrary.org/obo/UBERON_0002240>		
<http://purl.obolibrary.org/obo/NCIT_C19160>	"A grouping of occupations and fields of study."	
<http://purl.obolibrary.org/obo/UBERON_0009842>		
<http://purl.obolibrary.org/obo/NCIT_C175910>	"A question about whether an individual has or had trouble using stairs."	
<http://purl.obolibrary.org/obo/SYMP_0000019>		
<http://purl.obolibrary.org/obo/GO_0097708>		
<http://purl.obolibrary.org/obo/GO_0015980>		
<http://purl.obolibrary.org/obo/MONDO_0020589>	"A germ cell tumor that arises within the myocardium or cardiac chambers. The reported cases have been teratomas and yolk sac tumors."	"NCIT:C147005"
<http://purl.obolibrary.org/obo/MONDO_0700255>	"Paraneoplastic syndrome that involves the renal system."	
<http://purl.obolibrary.org/obo/MONDO_0005546>	"A chronic disorder of unknown etiology characterized by pain, stiffness, and tenderness in the muscles of neck, shoulders, back, hips, arms, and legs. Other signs and symptoms include headaches, fatigue, sleep disturbances, and painful menstruation."	"NCIT:C87497 EFO:0005687 MESH:D005356 SCTID:203082005 ICD9:729.1 Orphanet:41842 ICD10CM:M79.7 SCTID:24693007 UMLS:C0016053 DOID:631"
<http://purl.obolibrary.org/obo/CHEBI_38101>	"Any organonitrogen compound containing a cyclic component with nitrogen and at least one other element as ring member atoms."	
<http://purl.obolibrary.org/obo/HP_0000504>		
<http://purl.obolibrary.org/obo/HP_0012444>		
<http://purl.obolibrary.org/obo/CHEBI_33893>	"A substance used in a chemical reaction to detect, measure, examine, or produce other substances."	
<http://purl.obolibrary.org/obo/GO_0032787>		
<http://purl.obolibrary.org/obo/CL_0000049>		
<http://purl.obolibrary.org/obo/CL_0000352>		
<http://purl.obolibrary.org/obo/UBERON_0005792>		
<http://purl.obolibrary.org/obo/CHEBI_47882>		
<http://purl.obolibrary.org/obo/HP_0000505>		
<http://purl.obolibrary.org/obo/NCIT_C17005>	"A group of individuals united by a common factor (e.g., geographic location, ethnicity, disease, age, gender)"	
<http://purl.obolibrary.org/obo/NCBITaxon_1963758>		
<http://purl.obolibrary.org/obo/MONDO_0023370>	"Either an isolated neoplasm or a syndrome with neoplasm as a major feature."	
<http://purl.obolibrary.org/obo/BFO_0000015>	"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])"@en	
<http://purl.obolibrary.org/obo/GO_0015106>		
<http://identifiers.org/hgnc/11050>		
<http://purl.obolibrary.org/obo/UBERON_0003928>		
<http://purl.obolibrary.org/obo/CHEBI_77746>	"Any mammalian metabolite  produced during a metabolic reaction in humans (Homo sapiens)."	
<http://purl.obolibrary.org/obo/UBERON_0001969>		
<http://purl.obolibrary.org/obo/CL_0000355>		
<http://purl.obolibrary.org/obo/UBERON_0034932>		
<http://purl.obolibrary.org/obo/CL_0000222>		
<http://purl.obolibrary.org/obo/UBERON_0002067>		
<http://purl.obolibrary.org/obo/UBERON_0001172>		
<http://purl.obolibrary.org/obo/CHEBI_35507>		
<http://purl.obolibrary.org/obo/MONDO_0015327>		"GARD:19900 Orphanet:139009"
<http://purl.obolibrary.org/obo/UBERON_0011858>		
<http://purl.obolibrary.org/obo/CHEBI_60242>	"An atom or small molecule with a positive charge that does not contain carbon in covalent linkage, with a valency of one."	
<http://purl.obolibrary.org/obo/GO_0048513>		
<http://purl.obolibrary.org/obo/GO_0048646>		
<http://purl.obolibrary.org/obo/UBERON_0003929>		
<http://purl.obolibrary.org/obo/MONDO_0004609>	"A group of acute infections caused by herpes simplex virus type 1 or type 2 that is characterized by the development of one or more small fluid-filled vesicles with a raised erythematous base on the skin or mucous membrane. It occurs as a primary infection or recurs due to a reactivation of a latent infection. (Dorland, 27th ed.)"	"DOID:8566 SCTID:88594005 EFO:1002022 ICD9:058.89 ICD9:054 MESH:D006561 ICD10CM:B00 UMLS:C0019348"
<http://purl.obolibrary.org/obo/MONDO_0024352>	"A respiratory tract infection caused by a virus. Viruses represent the most common causes of upper and lower respiratory tract infections and include rhinoviruses, influenza viruses, parainfluenza viruses, and respiratory syncytial virus."	"SCTID:312133006 NCIT:C27219 ICD9:519.8"
<http://purl.obolibrary.org/obo/MONDO_0005151>	"A disease involving the endocrine system."	"NCIT:C3009 SCTID:362969004 UMLS:C0014130 EFO:0001379 DOID:28 MESH:D004700 ICD9:259.8 ICD9:259.9"
<http://purl.obolibrary.org/obo/NCBITaxon_105389>		
<http://purl.obolibrary.org/obo/MONDO_0003274>	"A primary or metastatic malignant neoplasm affecting the tissues of the thorax."	"DOID:5093 NCIT:C3576 UMLS:C0153661 SCTID:188361007 ICD9:195.1"
<http://purl.obolibrary.org/obo/CL_0000221>		
<http://purl.obolibrary.org/obo/MONDO_0001176>	"A disease involving the lens of camera-type eye."	"DOID:110 UMLS:C0549651 ICD10CM:H25-H28 ICD9:379.39 NCIT:C26812 MESH:D007905 SCTID:10810001"
<http://purl.obolibrary.org/obo/UBERON_0002199>		
<http://purl.obolibrary.org/obo/UBERON_0001171>		
<http://purl.obolibrary.org/obo/CHEBI_35508>		
<http://purl.obolibrary.org/obo/MONDO_0003503>	"A rare squamous cell carcinoma that arises from the fallopian tube."	"UMLS:C1333596 DOID:5540 NCIT:C6282"
<http://purl.obolibrary.org/obo/MONDO_0021960>	"An acute or chronic inflammatory process affecting the ureter."	"NCIT:C78666 UMLS:C0041959 SCTID:111405003"
<http://purl.obolibrary.org/obo/HP_0012443>		
<http://purl.obolibrary.org/obo/NCBITaxon_32519>		
<https://github.com/bmir-radx/gcbo/nih_sex>		
<http://purl.obolibrary.org/obo/MONDO_0005336>	"A disease of the muscle in which the muscle fibers do not function properly. This results in muscular weakness."	"SCTID:75047002 ICD9:359.8 SCTID:129565002 ICD9:728.3 UMLS:C0026848 NCIT:C101216 ICD9:359.9 EFO:0004145 DOID:423"
<http://purl.obolibrary.org/obo/MONDO_0005420>	"Abnormally low levels of thyroid hormone."	"EFO:0004705 NCIT:C26800 ICD9:244.9 SCTID:40930008 DOID:1459 MESH:D007037"
<http://purl.obolibrary.org/obo/MONDO_0100035>	"Structural epilepsies are conceptualized as having a distinct structural brain abnormality that has been demonstrated to be associated with a substantially increased risk of epilepsy in appropriately designed studies. The structural brain abnormality can be acquired (such as due to stroke, trauma or infection) or may be of genetic origin; however, as we currently understand it, the structural brain abnormality is a separate disorder interposed between the acquired or genetic defect and the epilepsy."	
<http://purl.obolibrary.org/obo/SYMP_0000459>		"UMLS_ICD9CM_2005_AUI:A0284224 UMLS_CUI:C0159058 ICD9CM_2005:787"
<http://purl.obolibrary.org/obo/UBERON_0003089>		
<http://purl.obolibrary.org/obo/MONDO_0001166>	"Inflammation of renal tissue."	"ICD9:583.9 UMLS:C0027697 SCTID:52845002 MESH:D009393 NCIT:C26833 DOID:10952 ICD9:583.89 ICD9:583.7"
<http://purl.obolibrary.org/obo/MONDO_0004627>	"Acute or chronic inflammation of the duodenum. Causes include bacterial and viral infections and gastroesophageal reflux disease. Symptoms include vomiting and abdominal pain."	"ICD9:535.60 UMLS:C0013298 ICD9:535.6 NCIT:C94409 MESH:D004382 DOID:8643 ICD10CM:K29.8 SCTID:72007001"
<http://purl.obolibrary.org/obo/CL_0002139>		
<http://purl.obolibrary.org/obo/UBERON_0003921>		
<http://purl.obolibrary.org/obo/HP_0025015>		
<https://github.com/bmir-radx/gcbo/nih_other_chronic_cond>		
<http://purl.obolibrary.org/obo/MONDO_0011057>	"A disorder resulting from inadequate blood flow in the vessels that supply the brain. Representative examples include cerebrovascular ischemia, cerebral embolism, and cerebral infarction."	"EFO:0003763 ICD9:437.9 DOID:6713 ICD9:434.91 NCIT:C2938 ICD9:437.8 SCTID:62914000 MESH:D002561 ICD9:430-438.99 ICD10CM:I60-I69 UMLS:C0007820"
<http://purl.obolibrary.org/obo/UBERON_0003923>		
<http://purl.obolibrary.org/obo/MONDO_0003494>	"A usually high grade squamous cell carcinoma that arises from the ovary and is not associated with a germ cell tumor. The prognosis is poor."	"UMLS:C2019443 EFO:1000432 NCIT:C40093 DOID:5531"
<http://purl.obolibrary.org/obo/GO_0061138>		
<http://purl.obolibrary.org/obo/CHEBI_48705>	"Substance which binds to cell receptors normally responding to naturally occurring substances and which produces a response of its own."	
<http://purl.obolibrary.org/obo/UBERON_0006555>		
<http://purl.obolibrary.org/obo/GO_0007610>		
<http://purl.obolibrary.org/obo/MONDO_0020576>	"Inflammation of the blood vessel wall characterized by palpable purpura."	"NCIT:C112210 UMLS:C0262988"
<http://purl.obolibrary.org/obo/UBERON_0003922>		
<http://purl.obolibrary.org/obo/UBERON_0002193>		
<http://purl.obolibrary.org/obo/MONDO_0000590>	"A hypersensitivity reaction type II disease that involves the peripheral nervous system."	"DOID:0060033"
<http://purl.obolibrary.org/obo/UBERON_0004590>		
<http://purl.obolibrary.org/obo/GO_0030431>		
<http://purl.obolibrary.org/obo/NBO_0000130>	"A behavior associated with the intake of liquid."	
<http://purl.obolibrary.org/obo/CHEBI_25699>		
<http://purl.obolibrary.org/obo/UBERON_0016887>		
<http://purl.obolibrary.org/obo/SYMP_0000280>	"A fatigue that is characterized by exceeding the ordinary, usual, or expected."	
<http://purl.obolibrary.org/obo/NCIT_C120481>	"A battery-powered atomizer designed to aerosolize a liquid solution for inhalation."	
<http://purl.obolibrary.org/obo/UBERON_0003924>		
<http://purl.obolibrary.org/obo/MONDO_0005148>	"A type of diabetes mellitus that is characterized by insulin resistance or desensitization and increased blood glucose levels. This is a chronic disease that can develop gradually over the life of a patient and can be linked to both environmental factors and heredity."	"SCTID:44054006 OMIM:125853 MESH:D003924 UMLS:C0011860 DOID:9352 NCIT:C26747 EFO:0001360"
<http://purl.obolibrary.org/obo/CL_0000048>		
<http://purl.obolibrary.org/obo/MONDO_0005411>	"A malignant neoplasm involving the gall bladder"	"UMLS:C0153452 EFO:0004606 ICD9:156.0 NCIT:C7481 ICD9:156.8 DOID:3121 ONCOTREE:GBC SCTID:363353009"
<http://purl.obolibrary.org/obo/UBERON_0004819>		
<http://purl.obolibrary.org/obo/UBERON_0000328>		
<http://purl.obolibrary.org/obo/MONDO_0021092>	"A benign or malignant neoplasm affecting the fallopian tube. Representative examples of benign neoplasms include papilloma, adenofibroma, and leiomyoma. Representative examples of malignant neoplasms include carcinoma, carcinosarcoma, and adenosarcoma."	"MESH:D005185 NCIT:C3032 UMLS:C0015558 ICD9:239.5 SCTID:126916003"
<http://purl.obolibrary.org/obo/UBERON_0004022>		
<http://purl.obolibrary.org/obo/UBERON_0004288>		
<http://purl.obolibrary.org/obo/MONDO_0004496>	"Myocarditis is a condition that is characterized by inflammation of the heart muscle (myocardium). Some affected people have no noticeable symptoms of the condition. When present, signs and symptoms may include chest pain, abnormal heartbeat, shortness of breath, fatigue, signs of infection (i.e. fever, headache, sore throat, diarrhea), and leg swelling. Myocarditis can be caused by a variety of factors including infections (viral, bacterial, parasitic, and fungal), allergic reactions to certain medications, and exposure to certain chemicals. It can also be associated with other inflammatory conditions such as lupus, Wegener's granulomatosis, giant cell arteritis and Takayasu's arteritis. Most cases occur sporadically in people with no family history of the condition. Treatment aims to address the underlying cause of the condition. Medications and rarely, a heart transplant may be needed if the heart muscle becomes weak."	"MESH:D009205 SCTID:50920009 ICD10CM:I40 NORD:1882 UMLS:C0027059 ICD9:429.0 NCIT:C34831 DOID:820"
<http://purl.obolibrary.org/obo/CHEBI_48706>	"Substance that attaches to and blocks cell receptors that normally bind naturally occurring substances."	
<http://purl.obolibrary.org/obo/UBERON_0016888>		
<http://purl.obolibrary.org/obo/MONDO_0019214>	"An inherited metabolic disease that is has its basis in the disruption of carbohydrate metabolic process."	"GARD:18946 EFO:1000061 MESH:D002239 ICD9:271.8 NCIT:C97089 Orphanet:79161 DOID:2978 MedDRA:10061023"
<http://purl.obolibrary.org/obo/GO_0061007>		
<http://purl.obolibrary.org/obo/NCIT_C131923>	"A question about an individual's ability to select and put on clothes."	
<http://purl.obolibrary.org/obo/CHEBI_33694>	"A macromolecule formed by a living organism."	
<http://purl.obolibrary.org/obo/NCBITaxon_6157>		
<http://purl.obolibrary.org/obo/MONDO_0024905>	"Diseases of birds not considered poultry, therefore usually found in zoos, parks, and the wild. The concept is differentiated from poultry diseases which is for birds raised as a source of meat or eggs for human consumption, and usually found in barnyards, hatcheries, etc."	"UMLS:C0005591 MESH:D001715"
<http://purl.obolibrary.org/obo/GO_0015850>		
<http://purl.obolibrary.org/obo/MONDO_0022519>	"Autoimmune myocarditis is an autoimmune disease that affects the heart. The condition is characterized by inflammation of the heart muscle (myocardium). Some people with autoimmune myocarditis have no noticeable symptoms of the condition. When present, signs and symptoms may include chest pain, abnormal heartbeat, shortness of breath, fatigue, signs of infection (i.e. fever, headache, sore throat, diarrhea), and leg swelling. The exact underlying cause of the condition is currently unknown; however, autoimmune conditions, in general, occur when the immune system mistakenly attacks healthy tissue. Treatment is based on the signs and symptoms present in each person. In some cases, medications that suppress the immune system may be recommended."	"DOID:0080767"
<http://purl.obolibrary.org/obo/MONDO_0005381>	"Diseases of bones."	"ICD9:731.8 EFO:0004260 SCTID:76069003 UMLS:CN204768 ICD9:733.99 MESH:D001847 DOID:0080001 ICD10CM:M80-M85 UMLS:C0005940 Orphanet:364803"
<http://purl.obolibrary.org/obo/CHEBI_33240>	"An assembly consisting of a central atom (usually metallic) to which is attached a surrounding array of other groups of atoms (ligands)."	
<http://purl.obolibrary.org/obo/MONDO_0000226>		"ICD9:275.8 ICD9:275.9 SCTID:45744005 ICD10CM:E83"
<http://purl.obolibrary.org/obo/UBERON_0006553>		
<http://purl.obolibrary.org/obo/MONDO_0002280>	"A reduction in the number of red blood cells, the amount of hemoglobin, and/or the volume of packed red blood cells. Clinically, anemia represents a reduction in the oxygen-transporting capacity of a designated volume of blood, resulting from an imbalance between blood loss (through hemorrhage or hemolysis) and blood production. Signs and symptoms of anemia may include pallor of the skin and mucous membranes, shortness of breath, palpitations of the heart, soft systolic murmurs, lethargy, and fatigability."	"ICD9:285.9 DOID:2355 ICD9:285.8 NCIT:C2869 HP:0001903 EFO:0004272 MESH:D000740 SCTID:271737000"
<https://github.com/bmir-radx/gcbo/nih_t2dm>		
<http://purl.obolibrary.org/obo/GO_0035592>		
<https://github.com/bmir-radx/gcbo/nih_gestational_diabetes>		
<https://github.com/bmir-radx/gcbo/nih_migraines>		
<http://purl.obolibrary.org/obo/MONDO_0004640>	"Inflammation of the stomach resulting from alcohol ingestion."	"DOID:8680 SCTID:2043009 UMLS:C0156076 NCIT:C26977 ICD10CM:K29.2 ICD9:535.3 ICD9:535.30"
<http://purl.obolibrary.org/obo/UBERON_0005177>		
<http://purl.obolibrary.org/obo/UBERON_0000325>		
<http://purl.obolibrary.org/obo/MONDO_0000922>	"Pelvic inflammatory disease (PID) is an acute or chronic inflammation in the pelvic cavity. It is most commonly caused by sexually transmitted diseases, including chlamydia and gonorrhea that have ascended into the uterus, fallopian tubes, or ovaries as a result of intercourse or childbirth, or of surgical procedures, including insertion of IUDs or abortion. PID may be either symptomatic or asymptomatic. It may cause infertility and it may raise the risk of ectopic pregnancy. PID is a disease associated with HIV infection."	"ICD9:614.8 EFO:1001388 ICD10CM:N70-N77 UMLS:C0242172 NCIT:C3889 MESH:D000292 DOID:1003 ICD9:614.9 ICD9:614-616.99 SCTID:198130006"
<http://purl.obolibrary.org/obo/CL_2000022>		
<http://purl.obolibrary.org/obo/GO_0031012>		
<http://purl.obolibrary.org/obo/NCIT_C9305>	"A neoplasm composed of atypical neoplastic, often pleomorphic cells that invade other tissues. Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision. The most common malignant neoplasms are carcinomas, Hodgkin and non-Hodgkin lymphomas, leukemias, melanomas, and sarcomas."	"IMDRF:E1801"
<http://purl.obolibrary.org/obo/CL_0000228>		
<http://purl.obolibrary.org/obo/CHEBI_33497>	"A molecular entity containing one or more atoms of a transition element."	
<http://purl.obolibrary.org/obo/CHEBI_50906>	"A role is particular behaviour which a material entity may exhibit."	
<http://purl.obolibrary.org/obo/CHEBI_37246>		
<http://purl.obolibrary.org/obo/UBERON_0006241>		
<http://purl.obolibrary.org/obo/MONDO_0023644>	"A carcinoma arising in the lip or oral cavity. Most oral cavity carcinomas are squamous cell carcinomas of the tongue, buccal mucosa, or gums. Less frequent morphologic variants include mucoepidermoid carcinoma and adenocarcinoma. Lip carcinomas are usually basal cell or squamous cell carcinomas."	"NCIT:C9315 UMLS:C0220641"
<http://purl.obolibrary.org/obo/MONDO_0003916>	"An imbalanced nutritional status resulting from excessive intake of nutrients. Generally, overnutrition generates an energy imbalance between food consumption and energy expenditure leading to disorders such as obesity."	"MESH:D044343 SCTID:302872003 ICD9:278.8 UMLS:C1257763 DOID:654"
